name	    fullname    	description	number_of_team	inception
NBA 	National Basketball Association	美国职业篮球联赛（National Basketball Association），简称美职篮（NBA），是由北美30支职业球队组成的男子职业篮球联盟，是美国四大职业体育联盟之一。 [1] 其中诞生了如：迈克尔·乔丹、比尔·拉塞尔、科比·布莱恩特、卡里姆·阿卜杜·贾巴尔、威尔特·张伯伦、埃尔文·约翰逊、拉里·伯德、奥斯卡·罗伯特森、约翰·哈弗利切克、里克·巴里、约翰·斯托克顿、卡尔·马龙、埃尔金·贝勒、大卫·罗宾逊、朱利叶斯·欧文、沙奎尔·奥尼尔、查尔斯·巴克利、阿伦·艾弗森、勒布朗·詹姆斯、斯蒂芬·库里、克里斯·保罗、詹姆斯·哈登、姚明等传奇球星。 [2] NBA分为东部联盟和西部联盟，每个联盟又被划分为3个赛区，各赛区由5支球队组成。每个赛季结束后下赛季开始前，会举行NBA选秀，选秀后有各球队新秀NBA夏季联赛，NBA常规赛，NBA季前赛通常在十月份打响，季前赛包含NBA海外赛。其中在2月份有一项特殊的表演赛事NBA全明星赛，NBA常规赛结束后，东、西部联盟分别由前八名进入季后赛，决出东西部冠军，晋级NBA总决赛，表现最优秀球员获比尔·拉塞尔NBA总决赛最有价值球员奖荣誉。	30	1946年6月6日
CBA 	China Basketball Association	中国男子篮球职业联赛（China Basketball Association），简称中职篮（CBA），是由中国篮球协会所主办的跨年度主客场制篮球联赛，中国最高等级的篮球联赛。其中诞生了如姚明、王治郅、易建联、朱芳雨等球星。CBA在1995-1996赛季由555香烟取得联赛的冠名权，1996-1997赛季到2000-2001赛季为希尔顿中国男子篮球甲级联赛，之后摩托罗拉和联通新时空分别取得过联赛的冠名权，联赛在2005年正式更名为中国男子篮球职业联赛。CBA球队数量共计20支。 [1] CBA设立季前赛、常规赛与季后赛，大致举办时间为每年10月至次年4月，CBA总决赛胜出球队获得当赛季CBA总冠军。截至2018-2019赛季，总共有7支球队夺得过总冠军（广东宏远九次夺冠，八一双鹿八次夺冠，北京首钢三次夺冠，辽宁沈阳三生飞豹篮球俱乐部、新疆广汇、上海东方大鲨鱼俱乐部、四川金强蓝鲸俱乐部各夺冠一次）。	20	1995年
