number	name	team	height	weight	position	birthdate
55	孙桐林	北京紫禁勇士	207CM/6尺9寸	112.8KG / 248磅	中锋	1992年12月23日
28	王征	北京紫禁勇士	221CM/7尺3寸	140.6KG / 309磅	中锋	1990年2月8日
31	安吉尔-德尔加多	北京紫禁勇士	208CM/6尺10寸	111KG / 244磅	中锋	1994年11月20日
1	杰森-汤普森	北京紫禁勇士	211CM/6尺11寸	113KG / 249磅	中锋	1986年7月21日
20	任骏飞	广东华南虎	203CM/6尺8寸	93.1KG / 205磅	大前锋	1990年2月4日
9	易建联	广东华南虎	211CM/6尺11寸	108KG / 238磅	大前锋	1987年10月27日
22	曾繁日	广东华南虎	201CM/6尺7寸	100.8KG / 222磅	大前锋	1996年1月26日
9	刘航初	八一火箭	204CM/6尺8寸	105.6KG / 232磅	大前锋	1993年6月2日
21	缪光旸	八一火箭	206CM/6尺9寸	116.5KG / 256磅	大前锋	1997年7月8日
20	张祖铭	八一火箭	205CM/6尺9寸	88.7KG / 195磅	大前锋	1995年1月27日
17	宁鸿宇	八一火箭	208CM/6尺10寸	88KG / 194磅	大前锋	1995年11月
23	常林	北京鸭	206CM/6尺9寸	116.9KG / 257磅	大前锋	1988年11月28日
15	柳伟	江苏龙	205CM/6尺9寸	130.5KG / 287磅	大前锋	1985年8月15日
9	周琦	新疆飞虎	217CM/7尺1寸	99KG / 218磅	大前锋	1996年1月16日
12	贾内尔-斯托克斯	新疆飞虎	205CM/6尺9寸	116KG / 255磅	大前锋	1994年1月7日
22	李晓旭	辽宁飞豹	206CM/6尺9寸	104.8KG / 231磅	大前锋	1990年6月5日
30	布兰登-巴斯	辽宁飞豹	203CM/6尺8寸	113公斤KG / 249磅	大前锋	1985年4月30日
10	廉明	吉林东北虎	203CM/6尺8寸	107.2KG / 236磅	大前锋	1990年3月22日
17	亚力克斯-波伊斯雷斯	吉林东北虎	206CM/6尺9寸	108KG / 238磅	大前锋	1993年9月6日
14	张彪	吉林东北虎	200CM/6尺7寸	101.4KG / 223磅	大前锋	1990年8月11日
12	钟诚	吉林东北虎	206CM/6尺9寸	124.8KG / 275磅	大前锋	1989年3月10日
12	多纳塔斯-莫蒂埃尤纳斯	上海大鲨鱼	213CM/7尺0寸	101公斤KG / 222磅	大前锋	1990年9月20日
16	董瀚麟	上海大鲨鱼	207CM/6尺9寸	109.7KG / 241磅	大前锋	1991年2月15日
11	何重达	福建中华鲟	203CM/6尺8寸	98.4KG / 216磅	大前锋	1994年2月11日
21	朱旭航	浙江金牛	204CM/6尺8寸	92.5KG / 204磅	大前锋	1993年12月24日
12	鞠鹏	浙江金牛	207CM/6尺9寸	111.7KG / 246磅	大前锋	1990年01月13日
15	吴轲	山东王者	211CM/6尺11寸	115.0KG / 253磅	大前锋	1990年1月5日
40	詹姆斯-梅斯	山东王者	203CM/6尺8寸	105KG / 231磅	大前锋	1986年3月
44	安德鲁-尼科尔森	广州龙狮	206CM/6尺9寸	113KG / 249磅	大前锋	1989年12月8日
14	郭凯	广州龙狮	206CM/6尺9寸	106.8KG / 235磅	大前锋	1993年7月5日
11	沈梓捷	深圳领航者	207CM/6尺9寸	100KG / 220磅	大前锋	1997年9月3日
7	张凯	深圳领航者	212CM/6尺11寸	101.6KG / 224磅	大前锋	1982年12月01日
9	闫鹏飞	山西猛龙	211CM/6尺11寸	110.0KG / 242磅	大前锋	1993年06月21日
10	任骏威	山西猛龙	201CM/6尺7寸	98.6KG / 217磅	大前锋	1990年02月04日
5	苏若禹	浙江猛狮	206CM/6尺9寸	110.5KG / 243磅	大前锋	1991年12月02日
15	赵天熠	浙江猛狮	205CM/6尺9寸	104.5KG / 230磅	大前锋	1995年4月6日
21	胡金秋	浙江猛狮	210CM/6尺11寸	95KG / 209磅	大前锋	1997年9月24日
23	时德帅	天津先行者	205CM/6尺9寸	97.0KG / 213磅	大前锋	1995年7月5日
16	田雨	天津先行者	206CM/6尺9寸	96KG / 211磅	大前锋	1996年8月22日
5	潘宁	天津先行者	212CM/6尺11寸	98.8KG / 217磅	大前锋	1995年12月6日
11	邵英伦	青岛雄鹰	203CM/6尺8寸	93KG / 205磅	大前锋	1996年1月27日
32	王庆明	青岛雄鹰	200CM/6尺7寸	112.1KG / 247磅	大前锋	1992年9月19日
41	托马斯-罗宾逊	四川蓝鲸	208CM/6尺10寸	110KG / 242磅	大前锋	1991年3月17日
50	泰勒-汉斯布鲁	四川蓝鲸	206CM/6尺9寸	113KG / 249磅	大前锋	1985年11月3日
13	左朕年	四川蓝鲸	199CM/6尺6寸	103.9KG / 229磅	大前锋	1996年1月26日
12	王睿	南京大圣	203CM/6尺8寸	90KG / 198磅	大前锋	1999年5月25日
16	于长春	南京大圣	201CM/6尺7寸	93.9KG / 207磅	大前锋	1991年08月10日
29	张韩	南京大圣	202CM/6尺8寸	89.5KG / 197磅	大前锋	1994年9月28日
13	盖尔雄-亚布塞莱	南京大圣	203CM/6尺8寸	118KG / 260磅	大前锋	1995年12月17日
1	桑尼-萨卡基尼	北京紫禁勇士	203CM/6尺8寸	100KG / 220磅	大前锋	1988年08月19日
13	宗赞	北京紫禁勇士	212CM/6尺11寸	112.4KG / 247磅	大前锋	1989年8月13日
5	王薪凯	广东华南虎	197CM/6尺6寸	86.3KG / 190磅	小前锋	1995年1月25日
11	周鹏	广东华南虎	206CM/6尺9寸	80KG / 176磅	小前锋	1989年10月11日
11	雷蒙	八一火箭	195CM/6尺5寸	97.6KG / 215磅	小前锋	1995年8月4日
17	罗凯文	八一火箭	200CM/6尺7寸	93.3KG / 205磅	小前锋	1995年7月18日
8	曹岩	八一火箭	196CM/6尺5寸	93.7KG / 206磅	小前锋	1991年4月25日
31	王鑫磊	北京鸭	195CM/6尺5寸	92.6KG / 204磅	小前锋	1992年2月9日
20	翟晓川	北京鸭	204CM/6尺8寸	100KG / 220磅	小前锋	1993年3月24日
24	赵率舟	江苏龙	198CM/6尺6寸	92.6KG / 204磅	小前锋	1995年1月2日
8	易立	江苏龙	206CM/6尺9寸	85KG / 187磅	小前锋	1985年11月07日
31	侯逸凡	江苏龙	201CM/6尺7寸	96.5KG / 212磅	小前锋	1992年8月2日
11	齐麟	新疆飞虎	202CM/6尺8寸	95KG / 209磅	小前锋	
23	阿不都沙拉木	新疆飞虎	202CM/6尺8寸	91.2KG / 201磅	小前锋	1996年5月20日
13	可兰白克-马坎	新疆飞虎	198CM/6尺6寸	101.6KG / 224磅	小前锋	1992年9月27日
1	兰斯-史蒂夫森	辽宁飞豹	198CM/6尺6寸	104KG / 229磅	小前锋	1990年09年5日
10	丛明晨	辽宁飞豹	199CM/6尺6寸	84.4KG / 186磅	小前锋	1995年1月11日
15	郭旭	辽宁飞豹	196CM/6尺5寸	80.4KG / 177磅	小前锋	1995年1月11日
6	贺天举	辽宁飞豹	205CM/6尺9寸	103.3KG / 227磅	小前锋	1990年12月28日
21	郭金林	吉林东北虎	196CM/6尺5寸	97KG / 213磅	小前锋	1991年2月7日
33	耿铭旸	吉林东北虎	198CM/6尺6寸	97.4KG / 214磅	小前锋	1997年3月12日
1	李根	上海大鲨鱼	196CM/6尺5寸	110KG / 242磅	小前锋	1988年08月15日
25	王潼	上海大鲨鱼	202CM/6尺8寸	77KG / 169磅	小前锋	1995年1月3日
27	张春军	上海大鲨鱼	197CM/6尺6寸	94.1KG / 207磅	小前锋	1987年08月24日
1	蔡亮	上海大鲨鱼	204CM/6尺8寸	89.6KG / 197磅	小前锋	1992年01月28日
8	鞠明欣	上海大鲨鱼	200CM/6尺7寸	94.9KG / 209磅	小前锋	1993年03月10日
15	陈林坚	福建中华鲟	197CM/6尺6寸	95.3KG / 210磅	小前锋	1993年09月12日
10	胡珑贸	福建中华鲟	197CM/6尺6寸	96KG / 211磅	小前锋	1992年12月22日
14	黄毅超	福建中华鲟	196CM/6尺5寸	90.1KG / 198磅	小前锋	1992年7月27日
10	刘泽一	浙江金牛	203CM/6尺8寸	100KG / 220磅	小前锋	1999年1月19日
17	赖俊豪	浙江金牛	207CM/6尺9寸	89.9KG / 198磅	小前锋	1995年7月14日
3	付磊	浙江金牛	196CM/6尺5寸	75KG / 165磅	小前锋	1996年5月4日
7	李泓翰	山东王者	195CM/6尺5寸	87.4KG / 192磅	小前锋	1995年8月8日
11	李敬宇	山东王者	197CM/6尺6寸	96.3KG / 212磅	小前锋	1991年4月3日
20	刘大鹏	山东王者	199CM/6尺6寸	85KG / 187磅	小前锋	1989年11月14日
38	吴楠	山东王者	195CM/6尺5寸	93.9KG / 207磅	小前锋	1989年08月10日
30	刘丰搏	广州龙狮	198CM/6尺6寸	89KG / 196磅	小前锋	1993年8月22日
21	衡艺丰	广州龙狮	196CM/6尺5寸	86KG / 189磅	小前锋	1995年1月27日
55	卢艺文	深圳领航者	204CM/6尺8寸	95.5KG / 210磅	小前锋	1995年2月21日
13	邱彪	深圳领航者	199CM/6尺6寸	101.3KG / 223磅	小前锋	1983年12月19日
12	顾全	深圳领航者	200CM/6尺7寸	96.7KG / 213磅	小前锋	1992年04月02日
12	邢志强	山西猛龙	202CM/6尺8寸	103.6KG / 228磅	小前锋	1993年04月10日
1	郭晓鹏	山西猛龙	199CM/6尺6寸	84.4KG / 186磅	小前锋	1995年03月18日
11	刘铮	浙江猛狮	193CM/6尺4寸	81.6KG / 180磅	小前锋	1990年11月24日
25	赵岩昊	浙江猛狮	191CM/6尺3寸	75KG / 165磅	小前锋	1997年10月25日
14	孟祥龙	天津先行者	198CM/6尺6寸	95.1KG / 209磅	小前锋	1989年09月26日
9	张智涵	天津先行者	196CM/6尺5寸	92.6KG / 204磅	小前锋	1991年07月15日
2	高森堡	天津先行者	200CM/6尺7寸	83.7KG / 184磅	小前锋	1995年1月10日
27	杨凯	青岛雄鹰	198CM/6尺6寸	85kgKG / 187磅	小前锋	1996年9月12日
20	张昊	青岛雄鹰	201CM/6尺7寸	88KG / 194磅	小前锋	1997年2月
33	翟逸	青岛雄鹰	200CM/6尺7寸	94.8KG / 209磅	小前锋	1994年07月14日
35	丁皓然	青岛雄鹰	205CM/6尺9寸	89.9KG / 198磅	小前锋	1996年10月16日
32	陈辰	四川蓝鲸	198CM/6尺6寸	97.1KG / 214磅	小前锋	1992年8月30日
8	宋建骅	南京大圣	199CM/6尺6寸	96KG / 211磅	小前锋	1991年1月20日
10	郭一飞	南京大圣	202CM/6尺8寸	91.2KG / 201磅	小前锋	1993年06月02日
11	于梁	北京紫禁勇士	204CM/6尺8寸	93.5KG / 206磅	小前锋	1986年11月29日
0	高尚	北京紫禁勇士	199CM/6尺6寸	100.7KG / 222磅	小前锋	1994年8月10日
2	马尚-布鲁克斯	广东华南虎	196CM/6尺5寸	91KG / 200磅	得分后卫	1989年1月26日
26	郭昊文	八一火箭	200CM/6尺7寸	82KG / 180磅	得分后卫	2000年1月31日
77	王骁辉	北京鸭	197CM/6尺6寸	96.9KG / 213磅	得分后卫	1990年3月20日
16	张才仁	北京鸭	196CM/6尺5寸	101.3KG / 223磅	得分后卫	1995年1月1日
11	段江鹏	北京鸭	197CM/6尺6寸	99.6KG / 219磅	得分后卫	1990年09月11日
11	刘志轩	辽宁飞豹	194CM/6尺4寸	79KG / 174磅	得分后卫	1991年1月7日
15	夏钰博	吉林东北虎	195CM/6尺5寸	89.3KG / 196磅	得分后卫	1992年08月09日
6	柴长易	吉林东北虎	192CM/6尺4寸	93.7KG / 206磅	得分后卫	1992年10月14日
55	多米尼克-琼斯	吉林东北虎	196CM/6尺5寸	98KG / 216磅	得分后卫	1988年10月15日
7	唐子豪	上海大鲨鱼	188CM/6尺2寸	87.9KG / 193磅	得分后卫	1996年1月10日
6	贾里德-坎宁安	上海大鲨鱼	193CM/6尺4寸	88KG / 194磅	得分后卫	1991年5月22日
7	谷玥灼	广州龙狮	190CM/6尺3寸	93.0KG / 205磅	得分后卫	1993年3月3日
3	孟铎	深圳领航者	192CM/6尺4寸	94.6KG / 208磅	得分后卫	1990年08月17日
20	何忠勉	深圳领航者	197CM/6尺6寸	97KG / 213磅	得分后卫	1991年03月16日
0	贺希宁	深圳领航者	194CM/6尺4寸	94.3KG / 207磅	得分后卫	1997年1月22日
8	滕贺麒	山西猛龙	200CM/6尺7寸	80KG / 176磅	得分后卫	1993年12月12日
7	原帅	山西猛龙	191CM/6尺3寸	86.8KG / 191磅	得分后卫	1994年07月18日
4	贾马尔-富兰克林	山西猛龙	196CM/6尺5寸	93KG / 205磅	得分后卫	1991年7月21日
9	李京龙	浙江猛狮	195CM/6尺5寸	88.3KG / 194磅	得分后卫	1995年3月15日
73	赵泰隆	青岛雄鹰	192CM/6尺4寸	91.7KG / 202磅	得分后卫	1990年01月04日
12	孟达	四川蓝鲸	196CM/6尺5寸	87.7KG / 193磅	得分后卫	1982年11月19日
12	卢伟	南京大圣	194CM/6尺4寸	88.1KG / 194磅	得分后卫	1985年04月23日
9	乔文瀚	南京大圣	19600CM	90KG / 198磅	得分后卫	1991年7月12日
20	何敬佳	南京大圣	193CM/6尺4寸	81.7KG / 180磅	得分后卫	1994年2月1日
