原帅	team	山西猛龙
滕贺麒	team	山西猛龙
郭晓鹏	team	山西猛龙
邢志强	team	山西猛龙
任骏威	team	山西猛龙
闫鹏飞	team	山西猛龙
侯兴宇	team	山西猛龙
葛昭宝	team	山西猛龙
埃里克-莫兰德	team	山西猛龙
张泽龙	team	山西猛龙
卫猛	team	山西猛龙
于德豪	team	深圳领航者
杨林祎	team	深圳领航者
刘春庆	team	深圳领航者
贺希宁	team	深圳领航者
何忠勉	team	深圳领航者
孟铎	team	深圳领航者
顾全	team	深圳领航者
邱彪	team	深圳领航者
卢艺文	team	深圳领航者
张凯	team	深圳领航者
沈梓捷	team	深圳领航者
贾雷尔-马丁	team	深圳领航者
赵义明	team	深圳领航者
李慕豪	team	深圳领航者
考特尼-福特森	team	四川蓝鲸
王政博	team	四川蓝鲸
孟达	team	四川蓝鲸
陈辰	team	四川蓝鲸
左朕年	team	四川蓝鲸
泰勒-汉斯布鲁	team	四川蓝鲸
托马斯-罗宾逊	team	四川蓝鲸
袁振梁	team	四川蓝鲸
张松涛	team	四川蓝鲸
于刚	team	四川蓝鲸
马齐-兰佩	team	四川蓝鲸
李原宇	team	四川蓝鲸
闵庆飞	team	四川蓝鲸
田野	team	天津先行者
史仪	team	天津先行者
高森堡	team	天津先行者
张智涵	team	天津先行者
孟祥龙	team	天津先行者
潘宁	team	天津先行者
田雨	team	天津先行者
时德帅	team	天津先行者
关键	team	天津先行者
栾晓君	team	天津先行者
刘伟	team	天津先行者
马尔科-托多罗维奇	team	天津先行者
冯欣	team	南京大圣
何敬佳	team	南京大圣
乔文瀚	team	南京大圣
卢伟	team	南京大圣
郭一飞	team	南京大圣
宋建骅	team	南京大圣
盖尔雄-亚布塞莱	team	南京大圣
张韩	team	南京大圣
于长春	team	南京大圣
王睿	team	南京大圣
哈米德-哈达迪	team	南京大圣
孙思尧	team	南京大圣
买尔丹-吐尔逊	team	南京大圣
曾令旭	team	新疆飞虎
西热力江	team	新疆飞虎
可兰白克-马坎	team	新疆飞虎
阿不都沙拉木	team	新疆飞虎
齐麟	team	新疆飞虎
贾内尔-斯托克斯	team	新疆飞虎
周琦	team	新疆飞虎
范子铭	team	新疆飞虎
埃里克-米卡	team	新疆飞虎
俞长栋	team	新疆飞虎
吴前	team	浙江金牛
付磊	team	浙江金牛
赖俊豪	team	浙江金牛
刘泽一	team	浙江金牛
鞠鹏	team	浙江金牛
朱旭航	team	浙江金牛
张大宇	team	浙江金牛
张正昕	team	浙江金牛
八一火箭	city	南昌
北京紫禁勇士	city	北京
北京鸭	city	北京
广东华南虎	city	东莞
福建中华鲟	city	晋江
浙江猛狮	city	诸暨
广州龙狮	city	广州
江苏龙	city	苏州
吉林东北虎	city	吉林
辽宁飞豹	city	沈阳
